date,account,sentiment,daily_pnl,win_rate,avg_pnl_per_trade,trade_count,avg_trade_size,long_percentage
2024-12-01,trader_1,Neutral,-105.66321652656887,46.55994520336203,-105.66321652656887,4,14578.73793026792,63.29770563201687
2024-12-02,trader_1,Fear,118.268262162726,49.818249672071005,118.268262162726,3,9565.940526113312,35.57975442608167
2024-12-03,trader_1,Fear,-4.401256204888881,55.851759613930135,-4.401256204888881,2,9505.627926620136,36.82096494749166
2024-12-04,trader_1,Extreme Fear,-176.75447872914873,57.48885537253334,-58.91815957638291,3,7932.476741557783,31.375540844608736
2024-12-05,trader_1,Extreme Greed,171.60718593651023,45.11711076089411,85.80359296825512,7,3743.7600738680326,31.80909155642152
2024-12-06,trader_1,Fear,-66.50123799652266,51.88677289689482,-33.25061899826133,3,12230.757730556556,32.98202574719083
2024-12-07,trader_1,Extreme Greed,-68.30752004895339,42.05522117123603,-17.076880012238348,2,13083.44796225831,54.93192507310232
2024-12-08,trader_1,Fear,153.40115466090413,48.635583502860236,153.40115466090413,5,10985.42702112193,60.4314019446759
2024-12-09,trader_1,Greed,34.26783374240775,47.22732829381994,34.26783374240775,1,1440.0085996142795,55.45641645055122
2024-12-10,trader_1,Fear,267.75723869768075,53.08570691164703,133.87861934884037,3,5056.520340792753,36.44885149016018
2024-12-11,trader_1,Extreme Greed,120.23173304396883,50.71460590187718,60.115866521984415,4,2540.7269433874744,39.117406501677664
2024-12-12,trader_1,Neutral,212.1461314104839,53.18014765922493,212.1461314104839,3,2678.115142671559,43.50460685614512
2024-12-13,trader_1,Extreme Greed,74.3902128151608,49.03018958895178,24.796737605053597,3,1516.417262963459,54.382573359195874
2024-12-14,trader_1,Neutral,-233.1240906474029,45.51478751249989,-116.56204532370145,2,14799.10635754841,39.68221086046002
2024-12-15,trader_1,Greed,-84.05377695311105,49.2821634861186,-28.017925651037018,1,12694.234938249332,42.83120259886943
2024-12-16,trader_1,Fear,172.77690270670985,48.40775141554764,86.38845135335492,2,10032.419065732298,36.974657160199655
2024-12-17,trader_1,Greed,139.2877145538776,43.37520944145993,139.2877145538776,5,8772.811362392473,51.18602313424026
2024-12-18,trader_1,Fear,60.687514776432394,48.93102767805899,15.171878694108099,6,3262.801997324593,65.94216754108317
2024-12-19,trader_1,Greed,67.97328191863542,48.918951976926934,33.98664095931771,2,11450.879671652337,55.98531596188859
2024-12-20,trader_1,Greed,-154.69678277747823,48.57612892300343,-154.69678277747823,2,4415.85500730717,68.92042219009782
2024-12-21,trader_1,Neutral,88.73671190620266,52.94811303541648,29.57890396873422,3,10036.612142700349,37.084427176281956
2024-12-22,trader_1,Extreme Greed,172.3493198457638,51.53928577002587,86.1746599228819,6,6391.368200426954,64.04546686067428
2024-12-23,trader_1,Fear,105.69124929562447,57.36154774160781,52.84562464781224,3,8256.615133092313,65.09492287711822
2024-12-24,trader_1,Greed,-159.3182045939181,48.97015740995268,-79.65910229695905,6,12176.132505534852,55.99855723111061
2024-12-25,trader_1,Greed,77.1673853082248,45.37995156851536,77.1673853082248,2,7518.3722538544425,51.70578538830306
2024-12-26,trader_1,Fear,101.14171064627857,53.908332605690106,101.14171064627857,1,12516.407849235216,44.40762565645052
2024-12-27,trader_1,Fear,267.24561693594546,50.15821027496843,267.24561693594546,1,8438.964841954072,51.62540486440426
2024-12-28,trader_1,Greed,60.56816001137298,49.26091333722661,20.18938667045766,2,2098.3893387917233,31.0140297366183
2024-12-29,trader_1,Extreme Greed,120.79796463687315,46.0895294441427,120.79796463687315,3,10242.763274048239,41.197355877837715
2024-12-30,trader_1,Extreme Greed,178.52083106721943,49.37896916695769,59.50694368907315,3,2625.016967096827,31.84010568087011
2024-12-31,trader_1,Extreme Fear,133.25833137754742,52.74173829087325,133.25833137754742,3,7073.923089331623,45.94018937589494
2025-01-01,trader_1,Greed,163.94144854869387,48.35093650867644,163.94144854869387,3,12990.857776636512,56.347745264757805
2025-01-02,trader_1,Fear,103.8871634688164,48.26511310541622,34.629054489605466,5,14456.667893534799,66.21402567824255
2025-01-03,trader_1,Fear,7.973974740944641,48.693613008751655,7.973974740944641,1,2322.2014505829975,57.320270936654275
2025-01-04,trader_1,Extreme Fear,186.19885606239987,48.232719357358256,93.09942803119993,6,3484.1536129161195,60.024590065634335
2025-01-05,trader_1,Greed,-34.32475978319485,51.905051420006735,-17.162379891597425,4,11512.194949080964,60.18171496338729
2025-01-06,trader_1,Fear,81.45758108878704,56.26457466107742,40.72879054439352,1,13675.34766986969,33.65146707144534
2025-01-07,trader_1,Fear,191.71209007688947,57.50061967050805,47.92802251922237,4,12054.653999123755,33.64824412194761
2025-01-08,trader_1,Neutral,60.612638147121686,49.41530501373377,30.306319073560843,2,9655.052886427655,34.04490704491161
2025-01-09,trader_1,Extreme Fear,-1.259405381453405,55.0096913145912,-1.259405381453405,3,2187.727997192687,69.46558314004702
2025-01-10,trader_1,Neutral,211.60960737724935,54.472485773838585,70.53653579241644,5,7896.751460072028,30.454145790696764
2025-01-11,trader_1,Neutral,-16.833442280544915,45.56303275681837,-16.833442280544915,1,10088.94422962489,59.84179517061693
2025-01-12,trader_1,Greed,22.598376246902784,44.857120862818604,7.5327920823009284,2,13476.003591772995,51.108044363451995
